Case,InitialEccentricity,MinEccentricity,MaxEccentricity,GlobalObservedMinAltitude_km,GlobalObservedMaxAltitude_km,MaximumObservedVariation_km,MaximumDeviationFromNominal_km,DaysOutsideMaintenanceHalfBand,EccentricityRange,FractionOfDaysWithinHalfBand
frozen,0.0010544301343793,0.0010544301343793,0.00105443013438452,630.477776341312,630.747440881521,0.269664540206122,0.74744088152147,0,5.21457876878628e-15,1
circular,0,0,0.00210885789900811,623.088190701704,638.137032951327,13.6403721364234,8.137032951327,0,0.00210885789900811,1
