Num_Satelites,Num_Telescopios,ID_Detector,Altura_nominal_km,Diametro_Pupila_mm,Factor_inferior,Factor_reset,T_ciclo_dias,N_impulsos,DeltaV_ciclo_ms,DeltaV_total_ms,Propelente_sin_margen_kg,Propelente_final_kg,Masa_seca_kg,Area_frontal_m2,Masa_total_satelite_kg
2,2,1,630,47,0.98,1,300.047536064517,9,6.78897674560631,61.1007907104567,0.18162624691916,0.199788871611076,6.3228207,0.18571879197709,6.52260957161108
2,2,1,630,47,0.98,1.02,657.300434116352,4,13.5596606151057,54.2386424604229,0.160970703364534,0.177067773700988,6.3228207,0.18571879197709,6.49988847370099
2,2,1,660,49,0.98,1,494.520397438905,5,7.0672468336561,35.3362341682805,0.118316104899023,0.130147715388925,7.1648241,0.201860941392935,7.29497181538893
2,2,1,660,49,0.98,1.02,1088.23877548074,2,14.1146300045084,28.2292600090168,0.0943639310888577,0.103800324197743,7.1648241,0.201860941392935,7.26862442419774
2,2,1,700,52,0.98,1,963.412334819447,3,7.43268677971719,22.2980603391516,0.0889605115609207,0.0978565627170128,8.5630272,0.227335270939815,8.66088376271701
2,2,1,700,52,0.98,1.02,2110.92715739589,1,14.8433430003297,14.8433430003297,0.0591167458374261,0.0650284204211687,8.5630272,0.227335270939815,8.62805562042117
2,2,1,710,53,0.98,1,1131.3069081908,2,7.52306317215698,15.046126344314,0.0634514443254194,0.0697965887579614,9.0666093,0.236163008901605,9.13640588875796
2,2,1,710,53,0.98,1.02,2459.81691350308,1,15.023541554925,15.023541554925,0.0633558693747721,0.0696914563122493,9.0666093,0.236163008901605,9.13630075631225
2,2,1,750,56,0.98,1,1971.36583149339,1,7.88069638064189,7.88069638064189,0.0391377668195085,0.0430515435014593,10.6950144,0.263655107125466,10.7380659435015
2,2,1,750,56,0.98,1.02,4303.64682534214,0,15.7365429563824,0,0,0,10.6950144,0.263655107125466,10.6950144
2,2,1,760,56,0.98,1,2232.14384522994,1,7.96914676024426,7.96914676024426,0.0395778482004709,0.043535633020518,10.6950144,0.263655107125466,10.7385500330205
2,2,1,760,56,0.98,1.02,4878.8759831866,0,15.9128657515066,0,0,0,10.6950144,0.263655107125466,10.6950144
2,2,1,770,57,0.98,1,2572.10897551998,1,8.05721799172443,8.05721799172443,0.0421982871608065,0.0464181158768872,11.2782537,0.273155434646249,11.3246718158769
2,2,1,770,57,0.98,1.02,5628.79870037676,0,16.0884256893632,0,0,0,11.2782537,0.273155434646249,11.2782537
2,2,1,790,59,0.98,1,3410.44566283213,0,8.23223094783316,0,0,0,12.5075811,0.292660531857062,12.5075811
2,2,1,790,59,0.98,1.02,7466.66076518635,0,16.4372731093899,0,0,0,12.5075811,0.292660531857062,12.5075811
2,2,1,820,61,0.98,1,4910.28147188146,0,8.49195604457145,0,0,0,13.8231429,0.312838218626868,13.8231429
2,2,1,820,61,0.98,1.02,10504.7090985415,0,16.9549228470278,0,0,0,13.8231429,0.312838218626868,13.8231429
2,2,1,840,62,0.98,1,5984.70366014586,0,8.66326581259545,0,0,0,14.5141752,0.323179283096393,14.5141752
2,2,1,840,62,0.98,1.02,12825.0015773972,0,17.2963209434402,0,0,0,14.5141752,0.323179283096393,14.5141752
2,2,1,860,64,0.98,1,7403.90913433254,0,8.83312115851277,0,0,0,15.9645696,0.34436585420469,15.9645696
2,2,1,860,64,0.98,1.02,15893.3013734675,0,17.634793815223,0,0,0,15.9645696,0.34436585420469,15.9645696
2,2,1,920,68,0.98,1,13133.9505495228,0,9.33411020645144,0,0,0,19.1489088,0.388756765098263,19.1489088
2,2,1,920,68,0.98,1.02,27654.5648069421,0,18.6329645447195,0,0,0,19.1489088,0.388756765098263,19.1489088
2,2,2,630,34,0.98,1,217.055664387097,13,6.78897674560631,88.256697692882,0.0999474276321149,0.109942170395326,2.3936136,0.0971891912745657,2.50355577039533
2,2,2,630,34,0.98,1.02,475.493931062893,6,13.5596606151057,81.3579636906343,0.0919867162786141,0.101185387906475,2.3936136,0.0971891912745657,2.49479898790648
2,2,2,660,36,0.98,1,363.321108322461,8,7.0672468336561,56.5379746692488,0.0754439854438112,0.0829883839881923,2.8413504,0.108959508556953,2.92433878398819
2,2,2,660,36,0.98,1.02,799.522365659317,3,14.1146300045084,42.3438900135252,0.0563171990407791,0.061948918944857,2.8413504,0.108959508556953,2.90329931894486
2,2,2,700,38,0.98,1,704.032090829596,4,7.43268677971719,29.7307471188687,0.0463688543360902,0.0510057397696992,3.3417048,0.121402415398333,3.3927105397697
2,2,2,700,38,0.98,1.02,1542.60061502007,1,14.8433430003297,14.8433430003297,0.0230701957043073,0.0253772152747381,3.3417048,0.121402415398333,3.36708201527474
2,2,2,710,39,0.98,1,832.471121121533,3,7.52306317215698,22.5691895164709,0.0379889486986352,0.0417878435684988,3.6125271,0.127876089903646,3.6543149435685
2,2,2,710,39,0.98,1.02,1810.05395521925,1,15.023541554925,15.023541554925,0.0252437032949489,0.0277680736244438,3.6125271,0.127876089903646,3.64029517362444
2,2,2,750,41,0.98,1,1443.32141234337,2,7.88069638064189,15.7613927612838,0.0307756644016485,0.0338532308418134,4.1972889,0.141327881083516,4.23114213084181
2,2,2,750,41,0.98,1.02,3150.88428283978,0,15.7365429563824,0,0,0,4.1972889,0.141327881083516,4.1972889
2,2,2,760,41,0.98,1,1634.24817240049,1,7.96914676024426,7.96914676024426,0.0155324393894899,0.0170856833284388,4.1972889,0.141327881083516,4.21437458332844
2,2,2,760,41,0.98,1.02,3572.03420197591,0,15.9128657515066,0,0,0,4.1972889,0.141327881083516,4.1972889
2,2,2,770,42,0.98,1,1895.2381924884,1,8.05721799172443,8.05721799172443,0.0168817757645798,0.0185699533410378,4.5119592,0.148305997758074,4.53052915334104
2,2,2,770,42,0.98,1.02,4147.53588448814,0,16.0884256893632,0,0,0,4.5119592,0.148305997758074,4.5119592
2,2,2,770,132,0.98,1,5250.02487600644,0,8.05721799172443,0,0,0,95.9086656,1.13803033385221,95.9086656
2,2,2,770,132,0.98,1.02,11489.1450868782,0,16.0884256893632,0,0,0,95.9086656,1.13803033385221,95.9086656
2,2,2,790,43,0.98,1,2485.57904240308,1,8.23223094783316,8.23223094783316,0.0185108209816317,0.0203619030797949,4.8419763,0.155452261822381,4.86233820307979
2,2,2,790,43,0.98,1.02,5441.80360852565,0,16.4372731093899,0,0,0,4.8419763,0.155452261822381,4.8419763
2,2,2,820,45,0.98,1,3622.33879073222,0,8.49195604457145,0,0,0,5.5495125,0.170249232120238,5.5495125
2,2,2,820,45,0.98,1.02,7749.3755644978,0,16.9549228470278,0,0,0,5.5495125,0.170249232120238,5.5495125
2,2,2,820,141,0.98,1,10003.8825967251,0,8.49195604457145,0,0,0,116.8943157,1.29850671873943,116.8943157
2,2,2,820,141,0.98,1.02,21401.599304712,0,16.9549228470278,0,0,0,116.8943157,1.29850671873943,116.8943157
2,2,2,840,46,0.98,1,4440.26400591467,0,8.66326581259545,0,0,0,5.9277624,0.17789993835379,5.9277624
2,2,2,840,46,0.98,1.02,9515.32375097215,0,17.2963209434402,0,0,0,5.9277624,0.17789993835379,5.9277624
2,2,2,860,47,0.98,1,5437.24577052546,0,8.83312115851277,0,0,0,6.3228207,0.18571879197709,6.3228207
2,2,2,860,47,0.98,1.02,11671.6431961402,0,17.634793815223,0,0,0,6.3228207,0.18571879197709,6.3228207
2,2,2,860,147,0.98,1,14988.9552053264,0,8.83312115851277,0,0,0,132.4610091,1.41136923118758,132.4610091
2,2,2,860,147,0.98,1.02,32175.4330083539,0,17.634793815223,0,0,0,132.4610091,1.41136923118758,132.4610091
2,2,2,920,50,0.98,1,9657.31658053148,0,9.33411020645144,0,0,0,7.6125,0.210184237185479,7.6125
2,2,2,920,50,0.98,1.02,20334.2388286339,0,18.6329645447195,0,0,0,7.6125,0.210184237185479,7.6125
2,2,2,920,158,0.98,1,26897.7821495113,0,9.33411020645144,0,0,0,164.4778104,1.63049754673362,164.4778104
2,2,2,920,158,0.98,1.02,56635.3936549347,0,18.6329645447195,0,0,0,164.4778104,1.63049754673362,164.4778104
2,2,2,930,50,0.98,1,10304.0630966261,0,9.41637685439582,0,0,0,7.6125,0.210184237185479,7.6125
2,2,2,930,50,0.98,1.02,21708.4693277717,0,18.7968501430132,0,0,0,7.6125,0.210184237185479,7.6125
2,2,2,940,51,0.98,1,11212.7192664426,0,9.49829645738555,0,0,0,8.0784459,0.218675680367773,8.0784459
2,2,2,940,51,0.98,1.02,23636.3830563022,0,18.960038036189,0,0,0,8.0784459,0.218675680367773,8.0784459
2,2,2,960,52,0.98,1,13007.7908454979,0,9.66110164367819,0,0,0,8.5630272,0.227335270939815,8.5630272
2,2,2,960,52,0.98,1.02,27451.9236351467,0,19.2843351393212,0,0,0,8.5630272,0.227335270939815,8.5630272
2,2,2,970,53,0.98,1,14139.5392255822,0,9.74199075642082,0,0,0,9.0666093,0.236163008901605,9.0666093
2,2,2,970,53,0.98,1.02,29857.5578238192,0,19.4454515077396,0,0,0,9.0666093,0.236163008901605,9.0666093
2,2,2,990,54,0.98,1,16380.8069251614,0,9.90275076111811,0,0,0,9.5895576,0.245158894253143,9.5895576
2,2,2,990,54,0.98,1.02,34548.5710356226,0,19.7656376034229,0,0,0,9.5895576,0.245158894253143,9.5895576
2,2,2,1000,54,0.98,1,17464.6583396683,0,9.98262511601206,0,0,0,9.5895576,0.245158894253143,9.5895576
2,2,2,1000,54,0.98,1.02,36591.9159591807,0,19.9247143530774,0,0,0,9.5895576,0.245158894253143,9.5895576
2,2,3,630,38,0.98,1,242.591624903227,12,6.78897674560631,81.4677209472757,0.128598460056595,0.141458306062255,3.3417048,0.121402415398333,3.48316310606226
2,2,3,630,38,0.98,1.02,531.434393540881,5,13.5596606151057,67.7983030755286,0.106680557071565,0.117348612778722,3.3417048,0.121402415398333,3.45905341277872
2,2,3,660,40,0.98,1,403.69012035829,7,7.0672468336561,49.4707278355927,0.0904046816031757,0.0994451497634933,3.8976,0.134517911798707,3.99704514976349
2,2,3,660,40,0.98,1.02,888.358184065907,3,14.1146300045084,42.3438900135252,0.0772526735813156,0.0849779409394472,3.8976,0.134517911798707,3.98257794093945
2,2,3,700,42,0.98,1,778.140731969553,3,7.43268677971719,22.2980603391516,0.0468743341810245,0.051561767599127,4.5119592,0.148305997758074,4.56352096759913
2,2,3,700,42,0.98,1.02,1704.97962712745,1,14.8433430003297,14.8433430003297,0.0311493049158172,0.0342642354073989,4.5119592,0.148305997758074,4.5462234354074
2,2,3,710,43,0.98,1,917.852774569895,3,7.52306317215698,22.5691895164709,0.0509177050217029,0.0560094755238731,4.8419763,0.155452261822381,4.89798577552387
