Es_Viable,Num_Satelites,Num_Telescopios,Detectores_Necesarios,ID_Detector,Tipo_Telescopio,Altura_km,Diametro_Pupila_mm,Swath_Requerido_km,Dias_Cobertura,Swath_Real_Sistema_km,Excedente_Swath_km,Excedente_Swath_porc,Inclinacion_SSO_deg,LTAN_h,Desfase_Anomalia_Verdadera_deg,MTF_a_Nyquist_lambda2,SNR_lambda3,Longitud_Focal_m,Relacion_Focal_f_num,Masa_Instrumento_kg,Longitud_Instrumento_m,Area_Instrumento_m2,Volumen_Instrumento_m3,Potencia_Electrica_Instrumento_W,Masa_Seca_Satelite_kg,Masa_Combustible_kg,Masa_Total_Satelite_kg,Masa_Total_Constelacion_kg,Num_Impulsos_Mantenimiento,DeltaV_Total_ms,Masa_Seca_TM_kg,Masa_Seca_SEOSAT_kg,Longitud_Satelite_m,Area_Satelite_m2,Volumen_Satelite_m3,Estandar_U
0,1,1,NaN,2,Refractivo,600,33,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4590422,0.132576569317153,1.59161876931715,1.59161876931715,25,162.676267736924,1.07811,1.8399744,0.264330282822854,0.0698704984172101,0.0184688886075949,18.4688886075949
0,1,1,NaN,2,Refractivo,470,26,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7135856,0.967280364547655,1.68086596454766,1.68086596454766,314,1645.8797496203,0.52728,0.8998912,0.208260222830128,0.0433723204132544,0.00903272911392405,9.03272911392405
0,1,1,NaN,2,Refractivo,630,34,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5957424,0.0894165279385088,1.68515892793851,1.68515892793851,15,101.834651184095,1.17912,2.0123648,0.272340291393244,0.0741692343161569,0.020199270886076,20.1992708860759
0,1,1,NaN,2,Refractivo,620,34,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5957424,0.100237333813653,1.69597973381365,1.69597973381365,17,113.821978794686,1.17912,2.0123648,0.272340291393244,0.0741692343161569,0.020199270886076,20.1992708860759
0,1,1,NaN,3,Refractivo,500,30,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0962,0.637442576972377,1.73364257697238,1.73364257697238,157,869.79942241024,0.81,1.3824,0.240300257111686,0.0577442135679422,0.0138759493670886,13.8759493670886
0,1,1,NaN,3,Refractivo,530,32,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3303808,0.411269940939439,1.74165074093944,1.74165074093944,87,507.616356867375,0.98304,1.6777216,0.256320274252465,0.0657000829928587,0.0168402632911392,16.8402632911392
0,1,1,NaN,3,Refractivo,510,31,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2095146,0.55641633530854,1.76593093530854,1.76593093530854,127,716.119804734387,0.89373,1.5252992,0.248310265682075,0.0616579880431028,0.0153103113924051,15.3103113924051
0,1,1,NaN,3,Refractivo,550,33,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4590422,0.309791868944511,1.76883406894451,1.76883406894451,60,361.733294644528,1.07811,1.8399744,0.264330282822854,0.0698704984172101,0.0184688886075949,18.4688886075949
0,1,1,NaN,2,Refractivo,460,25,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.634375,1.17232883943532,1.80670383943532,1.80670383943532,393,2020.5243038642,0.46875,0.8,0.200250214259738,0.040100148311071,0.00803006329113924,8.03006329113924
0,1,1,NaN,2,Refractivo,650,35,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.740725,0.0730365246929643,1.81376152469296,1.81376152469296,11,76.7238202086264,1.28625,2.1952,0.280350299963633,0.0785962906896992,0.0220344936708861,22.0344936708861
0,1,1,NaN,2,Refractivo,640,35,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.740725,0.0787298617912322,1.81945486179123,1.81945486179123,12,82.5856412042376,1.28625,2.1952,0.280350299963633,0.0785962906896992,0.0220344936708861,22.0344936708861
0,1,1,NaN,3,Refractivo,520,32,NaN,NaN,NaN,NaN,NaN,NaN,6,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3303808,0.494490761325159,1.82487156132516,1.82487156132516,104,596.639699885811,0.98304,1.6777216,0.256320274252465,0.0657000829928587,0.0168402632911392,16.8402632911392
