Altura_km,Diametro_pupila,Longitud_media,Sup_media,Peso_medio,Volumen_medio,Potencia_media,Masa_seca,Masa_combustible,Masa_total,Num_impulsos,DeltaV_total
660,78,0.2535,0.0676845,2.4083514,0.0188931015,2.5566489,9.6334056,0.031608090305076,9.66501369030508,1,7.0672468336561
670,79,0.25675,0.069431125,2.502172925,0.0196291151875,2.6562476125,10.0086917,0.0332674328809064,10.0419591328809,1,7.15920116549478
680,80,0.26,0.0712,2.5984,0.020384,2.7584,10.3936,0.0349893627751217,10.4285893627751,1,7.25075786393154
690,82,0.2665,0.0748045,2.7981926,0.0219513385,2.9704951,11.1927704,0.0381542568152442,11.2309246568152,1,7.34191903720603
700,83,0.26975,0.076640125,2.901819025,0.0227642699375,3.0805024625,11.6072761,0.0400572471583172,11.6473333471583,1,7.43268677971719
710,84,0.273,0.078498,3.0079728,0.023597028,3.1931928,12.0318912,0,12.0318912,0,0
720,85,0.27625,0.080378125,3.116684375,0.0244498515625,3.3085984375,12.4667375,0,12.4667375,0,0
730,86,0.2795,0.0822805,3.2279842,0.0253229795,3.4267517,12.9119368,0,12.9119368,0,0
740,87,0.28275,0.084205125,3.341902725,0.0262166506875,3.5476849125,13.3676109,0,13.3676109,0,0
750,89,0.28925,0.088121125,3.577717675,0.0280665783125,3.7980204875,14.3108707,0,14.3108707,0,0
760,90,0.2925,0.0901125,3.699675,0.0290233125,3.9274875,14.7987,0,14.7987,0,0
