Altura_km,Dmin_Refractivo_mm,Dmin_Korsch_mm,Dmin_Cassegrain_mm,Dmin_TMA_mm
200,20,24,34,NaN
210,20,25,36,NaN
220,20,26,37,NaN
230,20,27,39,NaN
240,20,28,41,NaN
250,20,29,42,NaN
260,20,31,44,NaN
270,20,32,46,NaN
280,21,33,47,NaN
290,22,34,49,NaN
300,23,35,51,NaN
310,23,36,52,NaN
320,24,38,54,NaN
330,25,39,56,NaN
340,25,40,57,NaN
350,26,41,59,NaN
360,27,42,61,NaN
370,28,43,62,NaN
380,28,45,64,NaN
390,29,46,66,NaN
400,30,47,68,NaN
410,31,48,69,NaN
420,31,49,71,NaN
430,32,50,73,NaN
440,33,52,74,NaN
450,34,53,76,NaN
460,34,54,78,NaN
470,35,55,79,NaN
480,36,56,81,NaN
490,36,57,83,NaN
500,37,58,84,NaN
510,38,60,86,NaN
520,39,61,88,NaN
530,39,62,89,NaN
540,40,63,91,NaN
550,41,64,93,NaN
560,42,65,94,NaN
570,42,67,96,NaN
580,43,68,98,NaN
590,44,69,99,NaN
600,45,70,101,NaN
610,45,71,103,NaN
620,46,72,104,NaN
630,47,74,106,NaN
640,48,75,108,NaN
650,48,76,109,NaN
660,49,77,111,NaN
670,50,78,113,NaN
680,50,79,114,NaN
690,51,81,116,NaN
700,52,82,118,NaN
710,53,83,119,NaN
720,53,84,121,NaN
730,54,85,123,NaN
740,55,86,124,NaN
750,56,87,126,NaN
760,56,89,128,NaN
770,57,90,129,NaN
780,58,91,131,NaN
790,59,92,133,NaN
800,59,93,135,NaN
810,60,94,136,NaN
820,61,96,138,NaN
830,61,97,140,NaN
840,62,98,141,NaN
850,63,99,143,NaN
860,64,100,145,NaN
870,64,101,146,NaN
880,65,103,148,NaN
890,66,104,150,NaN
900,67,105,151,NaN
910,67,106,153,NaN
920,68,107,155,NaN
930,69,108,156,NaN
940,70,110,158,NaN
950,70,111,160,NaN
960,71,112,161,NaN
970,72,113,163,NaN
980,72,114,165,NaN
990,73,115,166,NaN
1000,74,116,168,NaN
