Altura_km,Dmin_Refractivo_mm,Dmin_Korsch_mm,Dmin_Cassegrain_mm,Dmin_TMA_mm
200,20,20,20,35
210,20,20,20,36
220,20,20,21,38
230,20,20,22,40
240,20,20,23,41
250,20,20,24,43
260,20,20,25,45
270,20,21,26,47
280,20,22,27,48
290,20,23,28,50
300,20,24,29,52
310,20,24,30,53
320,20,25,31,55
330,20,26,32,57
340,20,27,33,59
350,20,27,34,60
360,20,28,35,62
370,20,29,36,64
380,21,30,37,65
390,21,30,38,67
400,22,31,39,69
410,23,32,40,71
420,23,33,40,72
430,24,34,41,74
440,24,34,42,76
450,25,35,43,77
460,25,36,44,79
470,26,37,45,81
480,26,37,46,82
490,27,38,47,84
500,27,39,48,86
510,28,40,49,88
520,28,40,50,89
530,29,41,51,91
540,30,42,52,93
550,30,43,53,94
560,31,44,54,96
570,31,44,55,98
580,32,45,56,100
590,32,46,57,101
600,33,47,58,103
610,33,47,59,105
620,34,48,59,106
630,34,49,60,108
640,35,50,61,110
650,35,50,62,111
660,36,51,63,113
670,36,52,64,115
680,37,53,65,117
690,38,54,66,118
700,38,54,67,120
710,39,55,68,122
720,39,56,69,123
730,40,57,70,125
740,40,57,71,127
750,41,58,72,129
760,41,59,73,130
770,42,60,74,132
780,42,60,75,134
790,43,61,76,135
800,43,62,77,137
810,44,63,78,139
820,45,64,79,141
830,45,64,79,142
840,46,65,80,144
850,46,66,81,146
860,47,67,82,147
870,47,67,83,149
880,48,68,84,151
890,48,69,85,152
900,49,70,86,154
910,49,70,87,156
920,50,71,88,158
930,50,72,89,159
940,51,73,90,161
950,52,74,91,163
960,52,74,92,164
970,53,75,93,166
980,53,76,94,168
990,54,77,95,170
1000,54,77,96,171
